cliente_ID,desistencia,genero,idade_>=_65,tem_parceiro,tem_dependentes
0139-IVFJG,No,Female,0,Yes,No
0141-YEAYS,No,Female,1,No,No
0142-GVYSN,No,Male,0,No,No
0147-ESWWR,No,Female,1,Yes,No
0148-DCDOS,Yes,Male,0,No,No
0151-ONTOV,Yes,Female,0,No,No
0154-QYHJU,,Male,0,No,No
0156-FVPTA,Yes,Male,0,Yes,No
0162-RZGMZ,,Female,1,No,No
0164-APGRB,No,Female,0,No,No
0164-XAIRP,No,Female,0,No,No
0168-XZKBB,No,Female,0,Yes,No
0174-QRVVY,No,Male,0,Yes,Yes
0177-PXBAT,No,Male,1,Yes,No
0178-CIIKR,No,Female,0,No,No
0178-SZBHO,No,Male,0,Yes,Yes
0181-RITDD,No,Male,0,Yes,Yes
0186-CAERR,No,Male,0,No,No
0187-QSXOE,No,Male,1,Yes,No
0187-WZNAB,No,Female,0,Yes,Yes
0188-GWFLE,No,Male,0,No,No
0191-EQUUH,No,Female,0,No,Yes
0191-ZHSKZ,No,Male,1,No,No
0193-ESZXP,Yes,Female,1,Yes,No
0195-IESCP,Yes,Male,0,Yes,No
0196-JTUQI,No,Female,0,No,No
0196-VULGZ,Yes,Female,1,Yes,No
0197-PNKNK,No,Female,0,Yes,Yes
0201-MIBOL,No,Female,1,No,No
0201-OAMXR,Yes,Female,0,No,No
0203-HHYIJ,Yes,Male,0,No,No
0206-OYVOC,No,Female,0,Yes,Yes
0206-TBWLC,No,Female,0,Yes,No
0207-MDKNV,Yes,Female,0,No,No
0208-BPQEJ,No,Female,0,Yes,Yes
0212-ISBBF,No,Female,0,No,No
0214-JHPFW,No,Female,0,Yes,No
0215-BQKGS,No,Male,0,No,No
0218-QNVAS,No,Male,0,Yes,Yes
0219-QAERP,No,Male,0,Yes,No
0219-YTZUE,Yes,Male,0,Yes,Yes
0220-EBGCE,Yes,Male,0,No,No
0221-NAUXK,No,Male,0,No,Yes
0221-WMXNQ,No,Male,1,No,No
0222-CNVPT,No,Male,1,No,No
0224-HJAPT,Yes,Male,0,No,No
0224-NIJLP,No,Male,0,Yes,Yes
0224-RLWWD,No,Female,1,No,No
0225-ZORZP,No,Male,0,No,No
0228-MAUWC,No,Male,0,No,No
0229-LFJAF,No,Male,0,No,No
0230-UBYPQ,No,Male,1,Yes,No
0230-WEQUW,No,Male,0,Yes,No
0231-LXVAP,Yes,Male,0,No,No
0233-FTHAV,No,Female,0,No,No
0234-TEVTT,No,Female,0,Yes,Yes
0235-KGSLC,Yes,Female,0,No,No
0236-HFWSV,Yes,Male,0,No,No
0237-YFUTL,No,Female,0,Yes,No
0238-WHBIQ,No,Male,0,Yes,Yes
0239-OXEXL,No,Female,0,No,No
0244-LGNFY,No,Female,0,Yes,Yes
0247-SLUJI,No,Male,0,Yes,Yes
0248-IPDFW,No,Female,0,No,No
0248-PGHBZ,No,Female,1,No,No
0253-ZTEOB,No,Female,0,Yes,Yes
0254-FNMCI,No,Female,0,No,No
0254-KCJGT,No,Male,0,Yes,No
0254-WWRKD,No,Female,0,Yes,Yes
0256-LTHVJ,Yes,Female,0,Yes,Yes
0257-KXZGU,No,Female,0,Yes,Yes
0257-ZESQC,Yes,Female,1,Yes,No
0258-NOKBL,No,Male,0,No,No
0259-GBZSH,Yes,Male,0,No,No
0260-ZDLGK,Yes,Female,0,No,Yes
0263-FJTQO,No,Male,0,Yes,Yes
0264-CNITK,No,Female,0,Yes,Yes
0265-EDXBD,Yes,Male,1,Yes,No
0265-PSUAE,No,Female,0,Yes,Yes
0266-CLZKZ,No,Female,0,Yes,Yes
0266-GMEAO,No,Male,0,Yes,Yes
0268-QKIWO,Yes,Female,0,No,No
0269-XFESX,No,Male,0,Yes,Yes
0270-THENM,No,Male,0,Yes,Yes
0274-JKUJR,No,Male,0,Yes,Yes
0274-VVQOQ,,Male,1,Yes,No
0277-BKSQP,No,Male,0,Yes,Yes
0277-ORXQS,No,Male,0,Yes,Yes
0278-YXOOG,Yes,Male,0,No,No
0280-XJGEX,Yes,Male,0,No,No
0281-CNTZX,No,Male,0,Yes,No
0282-NVSJS,No,Female,1,Yes,Yes
0285-INHLN,No,Male,0,Yes,Yes
0289-IVARM,No,Female,0,No,No
0292-WEGCH,No,Female,0,Yes,Yes
0295-PPHDO,Yes,Male,0,No,No
0295-QVKPB,No,Male,0,No,No
0297-RBCSG,No,Male,0,No,No
0298-XACET,No,Male,0,Yes,Yes
0301-FIDRB,No,Female,0,Yes,Yes
0301-KOBTQ,No,Male,0,No,No
0302-JOIVN,Yes,Female,0,Yes,No
0303-UNCIP,No,Male,0,No,No
0303-WMMRN,No,Male,0,No,No
0305-SQECB,No,Female,0,No,Yes
0306-JAELE,Yes,Male,0,No,No
0307-BCOPK,No,Female,0,No,No
0308-GIQJT,No,Male,1,No,No
0308-IVGOK,No,Female,0,No,No
0310-MVLET,Yes,Female,0,Yes,Yes
0310-SUCIN,No,Female,0,Yes,No
0310-VQXAM,No,Male,0,No,No
0311-QYWSS,No,Female,0,No,No
0311-UNPFF,Yes,Female,0,No,No
0314-TKOSI,No,Female,0,No,No
0315-LVCRK,No,Male,0,No,No
0318-QUUOB,Yes,Male,0,Yes,No
0318-ZOPWS,No,Female,0,Yes,No
0319-QZTCO,No,Female,0,Yes,Yes
0320-DWVTU,No,Female,0,No,No
0320-JDNQG,Yes,Male,0,Yes,Yes
0322-CHQRU,Yes,Male,0,No,No
0322-YINQP,Yes,Male,0,No,No
0323-XWWTN,No,Male,0,No,Yes
0324-BRPCJ,Yes,Female,1,Yes,No
0325-XBFAC,Yes,Male,0,No,No
0326-VDYXE,No,Female,0,Yes,No
0327-WFZSY,No,Male,0,Yes,Yes
0328-GRPMV,Yes,Female,0,No,No
0328-IBUPK,,Female,0,Yes,Yes
0329-GTIAJ,Yes,Female,0,No,No
0330-BGYZE,No,Male,0,Yes,No
0330-IVZHA,Yes,Female,0,Yes,No
0334-GDDSO,Yes,Male,1,No,No
0334-ZFJSR,No,Female,0,Yes,No
0336-KXKFK,No,Male,0,No,No
0336-PIKEI,No,Male,1,Yes,No
0337-CNPZE,Yes,Female,0,No,No
0343-QLUZP,No,Male,0,No,No
0345-HKJVM,Yes,Female,0,No,No
0345-XMMUG,No,Female,0,Yes,No
0347-UBKUZ,No,Female,0,No,No
0348-SDKOL,Yes,Female,0,Yes,No
0354-VXMJC,No,Male,0,Yes,Yes
0354-WYROK,Yes,Female,1,Yes,Yes
0356-ERHVT,No,Male,0,Yes,No
0356-OBMAC,No,Female,1,No,No
0357-NVCRI,No,Female,0,No,Yes
0361-HJRDX,No,Female,0,No,No
0362-RAOQO,No,Female,0,No,No
0362-ZBZWJ,Yes,Male,0,No,No
0363-QJVFX,Yes,Male,0,No,No
0363-SVHYR,No,Male,0,Yes,Yes
0365-BZUWY,No,Male,0,Yes,No
0365-GXEZS,No,Male,0,Yes,No
0365-TRTPY,No,Female,0,No,No
0366-NQSHS,No,Male,0,No,No
0369-ZGOVK,No,Female,0,Yes,Yes
0373-AIVNJ,No,Male,0,No,No
0374-AACSZ,No,Female,0,No,No
0374-FIUCA,No,Male,0,Yes,No
0374-IOEGQ,No,Female,0,No,No
0375-HVGXO,Yes,Female,0,No,No
0376-OIWME,No,Male,0,Yes,No
0376-YMCJC,Yes,Male,0,No,No
0377-JBKKT,No,Male,0,Yes,Yes
0378-CJKPV,No,Female,0,Yes,No
0378-NHQXU,Yes,Female,0,Yes,Yes
0378-TOVMS,Yes,Female,0,No,No
0378-XSZPU,Yes,Male,0,Yes,No
0379-DJQHR,No,Male,0,Yes,Yes
0380-NEAVX,No,Male,1,No,No
0380-ZCSBI,No,Male,0,No,No
0383-CLDDA,No,Female,0,No,No
0384-LPITE,No,Male,0,No,No
0384-RVBPI,No,Male,0,No,No
0386-CWRGM,No,Female,0,Yes,Yes
0388-EOPEX,Yes,Female,0,Yes,No
0390-DCFDQ,Yes,Female,1,Yes,No
0392-BZIUW,No,Female,0,Yes,No
0394-YONDK,No,Male,0,Yes,Yes
0396-HUJBP,No,Female,0,No,No
0396-UKGAI,No,Male,0,No,Yes
0396-YCHWO,No,Male,0,Yes,No
0397-GZBBC,Yes,Male,1,Yes,No
0397-ZXWQF,No,Male,0,No,No
0401-WDBXM,No,Male,0,Yes,Yes
0402-CQAJN,Yes,Female,0,No,No
0402-OAMEN,No,Female,0,Yes,Yes
0404-AHASP,No,Male,0,Yes,No
0404-SWRVG,Yes,Male,0,No,No
0406-BPDVR,Yes,Female,1,Yes,No
0407-BDJKB,Yes,Male,0,Yes,No
0409-WTMPL,No,Female,0,Yes,No
0410-IPFTY,No,Female,0,Yes,No
0411-EZJZE,No,Female,0,No,No
0412-UCCNP,No,Male,0,No,No
0415-MOSGF,Yes,Female,0,No,No
0419-YAAPX,No,Male,0,Yes,No
0420-BWTPW,Yes,Male,0,No,Yes
0420-HLGXF,No,Female,1,No,No
0420-TXVSG,No,Male,0,Yes,No
0422-OHQHQ,No,Female,0,Yes,Yes
0422-UXFAP,No,Female,0,Yes,No
0423-UDIJQ,No,Male,1,No,No
0426-TIRNE,Yes,Female,0,No,No
0428-AXXLJ,No,Male,0,No,No
0428-IKYCP,No,Male,0,Yes,No
0430-IHCDJ,No,Male,0,No,No
0431-APWVY,Yes,Female,0,Yes,Yes
0432-CAJZV,No,Male,0,No,No
0434-CSFON,No,Female,0,Yes,No
0436-TWFFZ,No,Female,0,No,No
0439-IFYUN,No,Female,1,No,No
0440-EKDCF,No,Male,0,Yes,No
0440-MOGPM,No,Female,0,No,No
0440-QEXBZ,No,Female,0,No,No
0440-UEDAI,No,Female,0,No,No
0442-TDYUO,No,Male,0,Yes,No
0442-ZXKVS,No,Female,1,Yes,No
0447-BEMNG,Yes,Female,0,Yes,No
0447-RXSGD,No,Male,0,No,No
0448-YZNZE,,Male,1,Yes,No
0454-OKRCT,No,Male,0,No,No
0455-ENTCR,No,Male,0,Yes,No
0455-XFASS,No,Female,0,Yes,Yes
0458-HEUZG,No,Female,0,No,No
0459-SPZHJ,No,Male,0,Yes,Yes
0461-CVKMU,Yes,Female,0,Yes,Yes
0463-TXOAK,No,Male,0,No,Yes
0463-WZZKO,No,Male,0,No,No
0463-ZSDNT,No,Male,0,No,No
0464-WJTKO,No,Female,0,Yes,Yes
0468-YRPXN,No,Male,0,No,No
0471-ARVMX,No,Female,1,Yes,No
0471-LVHGK,Yes,Male,0,Yes,No
0475-RIJEP,Yes,Male,0,No,No
0479-HMSWA,No,Female,0,No,Yes
0480-BIXDE,No,Female,0,Yes,No
0480-KYJVA,No,Female,0,Yes,Yes
0481-SUMCB,No,Female,1,No,No
0484-FFVBJ,No,Male,0,No,No
0484-JPBRU,No,Male,0,No,No
0485-ZBSLN,No,Male,0,Yes,Yes
0486-HECZI,Yes,Male,0,Yes,No
0486-LGCCH,No,Male,0,Yes,Yes
0487-CRLZF,No,Female,0,No,No
0487-RPVUM,No,Male,0,Yes,No
0487-VVUVK,No,Male,0,Yes,Yes
0488-GSLFR,Yes,Female,0,No,No
0489-WMEMG,No,Female,0,No,Yes
0491-KAPQG,No,Male,0,No,No
0495-RVCBF,Yes,Female,0,No,No
0495-ZBNGW,Yes,Male,1,Yes,No
0496-AHOOK,No,Male,0,Yes,No
0504-HHAPI,Yes,Female,1,No,No
0505-SPOOW,No,Female,0,Yes,No
0506-LVNGN,Yes,Female,1,No,No
0506-YLVKJ,No,Male,0,Yes,Yes
0508-OOLTO,No,Female,0,Yes,Yes
0508-SQWPL,No,Female,0,Yes,Yes
0510-EXSMQ,,Female,0,No,No
0511-JTEOY,Yes,Female,0,No,No
0512-FLFDW,No,Female,1,Yes,No
0513-RBGPE,No,Male,0,Yes,Yes
0515-YPMCW,Yes,Male,0,No,Yes
0516-OOHAR,No,Male,0,Yes,Yes
0516-QREYC,No,Female,1,No,No
0516-UXRMT,No,Female,0,No,No
0516-VRYBW,Yes,Female,0,No,Yes
0516-WJVXC,Yes,Female,0,No,No
0519-DRGTI,No,Female,0,Yes,Yes
0519-XUZJU,Yes,Female,0,No,No
0520-FDVVT,Yes,Male,0,No,No
0523-VNGTF,No,Female,1,No,No
0524-IAVZO,Yes,Female,0,Yes,No
0526-SXDJP,No,Male,0,Yes,No
0529-ONKER,Yes,Male,1,No,No
0530-HBKHZ,,Female,1,Yes,No
0530-IJVDB,No,Male,0,No,Yes
0531-XBKMM,No,Male,0,No,Yes
0531-ZZJWQ,No,Male,1,Yes,No
0533-BNWKF,Yes,Female,1,Yes,No
0533-UCAAU,No,Male,1,Yes,No
0534-JRNIG,,Female,0,No,No
0536-ACXIP,No,Female,0,Yes,No
0536-BGFMZ,No,Female,0,Yes,No
0536-ESJEP,No,Male,0,Yes,No
0537-QYZZN,No,Male,1,Yes,Yes
0541-FITGH,No,Female,0,Yes,No
0542-YUDZL,,Female,0,Yes,Yes
0547-HURJB,No,Male,0,No,Yes
0548-BCTNE,,Male,0,No,No
0549-CYCQN,No,Male,1,No,No
0550-DCXLH,No,Male,0,No,No
0556-FJEGU,No,Male,0,No,No
0557-ASKVU,No,Female,0,Yes,Yes
0559-CKHUS,No,Female,0,Yes,No
0562-FGDCR,No,Female,0,Yes,Yes
0562-HKHML,No,Male,0,Yes,Yes
0562-KBDVM,No,Female,0,No,No
0564-JJHGS,Yes,Male,0,No,No
0564-MUUQK,No,Female,0,Yes,Yes
0565-IYCGT,Yes,Male,0,No,No
0565-JUPYD,No,Male,0,No,No
0567-DLARH,,Female,0,Yes,Yes
0567-GGCAC,No,Female,0,No,No
0567-XRHCU,No,Female,0,Yes,Yes
0568-ONFPC,Yes,Male,0,Yes,Yes
0570-BFQHT,No,Female,0,No,No
0572-ZJKLT,No,Female,0,Yes,Yes
0575-CUQOV,No,Male,1,Yes,No
0576-WNXXC,Yes,Male,1,Yes,No
0577-WHMEV,No,Female,0,Yes,No
0578-SKVMF,Yes,Female,0,Yes,Yes
0580-PIQHM,No,Female,0,Yes,Yes
0581-BXBUB,No,Female,1,No,No
0581-MDMPW,No,Female,0,No,No
0582-AVCLN,No,Female,0,No,No
0584-BJQGZ,No,Female,0,No,No
0585-EGDDA,No,Male,0,Yes,No
0587-DMGBH,Yes,Female,0,No,No
0594-UFTUL,No,Male,0,Yes,Yes
0595-ITUDF,No,Male,0,Yes,Yes
0596-BQCEQ,Yes,Female,0,Yes,Yes
0599-XNYDO,No,Female,0,Yes,No
0601-WZHJF,Yes,Male,0,Yes,No
0602-DDUML,No,Female,0,No,No
0603-OLQDC,No,Male,0,No,Yes
0603-TPMIB,No,Female,0,Yes,Yes
0604-THJFP,No,Female,0,Yes,Yes
0607-DAAHE,Yes,Male,0,No,Yes
0607-MVMGC,No,Male,0,Yes,Yes
0608-JDVEC,No,Male,0,Yes,No
0611-DFXKO,Yes,Male,0,Yes,No
0612-RTZZA,Yes,Female,1,No,No
0613-WUXUM,No,Female,0,Yes,Yes
0616-ATFGB,Yes,Male,1,Yes,No
0617-AQNWT,Yes,Female,0,Yes,No
0617-FHSGK,Yes,Male,0,No,Yes
0618-XWMSS,Yes,Male,0,No,Yes
0619-OLYUR,No,Male,0,Yes,No
0620-DLSLK,No,Female,0,No,No
0620-XEFWH,No,Male,0,Yes,Yes
0621-CXBKL,No,Female,0,No,No
0621-HJWXJ,No,Female,0,Yes,No
0621-JFHOL,No,Female,0,No,No
0621-TSSMU,No,Male,0,Yes,No
0621-TWIEM,Yes,Male,0,No,No
0622-OCUQY,,Male,0,No,No
0623-EJQEG,No,Male,0,No,No
0623-GDISB,No,Female,0,No,No
0623-IIHUG,Yes,Female,1,No,No
0625-AFOHS,No,Female,0,Yes,Yes
0626-QXNGV,No,Female,0,Yes,No
0628-CNQRM,Yes,Male,0,Yes,Yes
0634-SZPQA,Yes,Female,0,No,No
0635-WKOLD,No,Male,0,Yes,No
0637-KVDLV,Yes,Male,0,No,No
0637-UBJRP,Yes,Male,0,Yes,Yes
0637-YLETY,Yes,Female,0,No,No
0639-QDHAY,,Female,0,No,No
0639-TSIQW,Yes,Female,0,No,No
0640-YJTPY,No,Male,0,Yes,Yes
0641-EVBOJ,No,Male,0,No,No
0643-OKLRP,Yes,Female,1,Yes,No
0644-OQMDK,No,Male,1,No,No
0650-BWOZN,No,Female,1,No,No
0654-HMSHN,Yes,Male,0,Yes,Yes
0654-PQKDW,No,Female,0,Yes,Yes
0655-RBDUG,Yes,Male,0,No,No
0655-YDGFJ,No,Male,0,No,No
0657-DOGUM,No,Female,0,Yes,No
0661-KBKPA,No,Male,0,Yes,Yes
0661-KQHNK,No,Female,0,Yes,Yes
0661-WCQNQ,No,Male,0,Yes,No
0661-XEYAN,Yes,Female,1,No,No
0665-XHDJU,No,Male,0,Yes,No
0666-UXTJO,No,Male,1,Yes,No
0667-NSRGI,No,Female,0,Yes,No
0668-OGMHD,No,Female,0,Yes,No
0670-ANMUU,No,Male,0,No,No
0670-KDOMA,No,Female,0,No,No
0673-IGUQO,No,Male,0,No,No
0674-DGMAQ,No,Male,1,Yes,No
0674-EYYZV,No,Female,0,No,No
0674-GCDXG,No,Male,0,No,No
0675-NCDYU,No,Female,0,Yes,Yes
0678-RLHVP,No,Female,0,No,No
0679-IDSTG,Yes,Female,1,Yes,Yes
0679-TDGAK,No,Male,0,Yes,Yes
0680-DFNNY,Yes,Male,0,Yes,No
0682-USIXD,No,Female,0,Yes,No
0684-AOSIH,Yes,Male,0,Yes,No
0685-MLYYM,Yes,Female,1,No,No
0687-ZVTHB,Yes,Male,0,Yes,Yes
0689-DSXGL,No,Female,0,Yes,Yes
0689-NKYLF,Yes,Male,0,No,No
0690-SRQID,No,Male,0,No,No
0691-IFBQW,Yes,Female,1,No,No
0691-JVSYA,Yes,Female,0,Yes,No
0691-NIKRI,No,Female,0,No,No
0696-UKTOX,No,Male,0,No,Yes
0697-ZMSWS,Yes,Male,0,No,No
0699-NDKJM,No,Female,0,Yes,No
0699-XSLUE,,Male,0,Yes,Yes
0701-RFGFI,No,Female,0,Yes,Yes
0701-TJSEF,No,Male,0,No,No
0702-PGIBZ,Yes,Male,0,No,Yes
0704-VCUMB,No,Female,0,Yes,No
0707-HOVVN,No,Female,1,No,No
0708-LGSMF,No,Male,0,Yes,No
0708-SJDIS,No,Female,0,No,No
0709-TVGUR,Yes,Female,1,No,No
0716-BQNDX,No,Male,1,No,No
0719-SYFRB,Yes,Female,0,No,No
0722-SVSFK,No,Female,0,No,No
0722-TROQR,Yes,Female,1,No,No
0723-DRCLG,Yes,Female,1,Yes,No
0723-FDLAY,No,Male,0,No,No
0723-VSOBE,No,Female,1,No,No
0725-CXOTM,No,Female,0,No,No
0727-BMPLR,Yes,Female,1,No,No
0727-BNRLG,No,Male,0,No,No
0727-IWKVK,Yes,Male,0,Yes,No
0730-BGQGF,No,Male,0,Yes,Yes
0730-KOAVE,No,Male,0,No,No
0731-EBJQB,No,Female,0,Yes,Yes
0732-OCQOC,No,Female,0,Yes,Yes
0733-VUNUW,Yes,Male,0,No,No
0734-OXWBT,No,Male,0,No,Yes
0739-UUAJR,No,Female,0,Yes,Yes
0742-LAFQK,No,Male,0,Yes,No
0742-MOABM,Yes,Male,0,Yes,No
0742-NXBGR,Yes,Female,0,No,No
0743-HNPFG,No,Female,0,Yes,Yes
0743-HRVFF,No,Female,0,Yes,Yes
0744-BIKKF,No,Male,0,No,No
0744-GKNGE,No,Female,0,Yes,Yes
0746-JTRFU,Yes,Male,0,No,No
0748-RDGGM,Yes,Male,0,Yes,No
0749-IRGQE,No,Female,1,Yes,No
0750-EBAIU,No,Male,0,No,No
0750-EKNGL,No,Male,0,No,No
0754-EEBDC,No,Male,0,Yes,Yes
0754-UKWQP,Yes,Male,0,No,No
0756-MPZRL,No,Male,0,No,No
0757-WCUUZ,No,Male,0,Yes,Yes
0761-AETCS,Yes,Female,0,No,No
0769-MURVM,No,Female,0,Yes,Yes
0769-WXZYU,,Male,0,No,No
0771-CHWSK,No,Male,0,No,No
0771-WLCLA,No,Female,0,Yes,Yes
0772-GYEQQ,Yes,Male,0,No,No
0774-IFUVM,No,Male,0,Yes,Yes
0774-RMNUW,No,Female,0,Yes,Yes
0778-NELLA,Yes,Male,0,No,No
0780-XNZFN,No,Male,0,No,No
0781-LKXBR,Yes,Male,1,No,No
0784-GTUUK,No,Male,0,Yes,No
0784-ZQJZX,No,Male,0,No,Yes
0786-IVLAW,No,Female,1,No,No
0786-VSSUD,Yes,Male,1,No,No
0787-LHDYT,No,Male,0,No,No
0788-DXBFY,No,Male,0,Yes,Yes
0793-TWELN,No,Female,0,No,No
0794-YVSGE,No,Male,0,Yes,Yes
0795-GMVQO,No,Male,0,Yes,No
0795-LAFGP,No,Male,0,Yes,Yes
0795-XCCTE,No,Male,1,No,No
0799-DDIHE,No,Female,0,Yes,Yes
0804-XBFBV,No,Female,0,No,Yes
0804-YGEQV,No,Female,0,Yes,Yes
0807-ZABDG,Yes,Female,0,No,Yes
0810-BDHAW,No,Female,0,Yes,Yes
0810-DHDBD,No,Female,0,No,No
0811-GSDTP,No,Female,0,No,Yes
0812-WUPTB,Yes,Male,1,Yes,No
0813-TAXXS,No,Male,0,No,No
0815-MFZGM,No,Female,0,Yes,No
0816-TSPHQ,No,Male,0,No,No
0817-HSUSE,No,Male,0,No,No
0818-OCPZO,Yes,Male,1,No,No
0820-FNRNX,No,Male,0,Yes,Yes
0822-GAVAP,Yes,Female,0,No,No
0822-QGCXA,No,Female,1,Yes,No
0823-HSCDJ,Yes,Male,1,No,No
0824-VWDPO,No,Female,0,No,No
0825-CPPQH,No,Female,0,Yes,No
0827-ITJPH,No,Male,0,No,No
0829-DDVLK,No,Female,0,No,No
0829-XXPLX,No,Female,0,No,No
0831-JNISG,No,Male,0,Yes,Yes
0835-DUUIQ,No,Female,0,No,Yes
0835-JKADZ,No,Female,0,No,No
0836-SEYLU,Yes,Male,0,Yes,No
0839-JTCUD,No,Female,0,Yes,Yes
0839-QNXME,No,Female,0,No,No
0840-DCNZE,No,Male,0,No,No
0840-DFEZH,No,Female,0,No,No
0840-JCCUW,,Female,0,Yes,No
0841-NULXI,Yes,Male,0,No,No
0842-IWYCP,No,Female,0,No,No
0843-WTBXE,Yes,Male,0,No,No
0847-HGRML,No,Male,0,No,Yes
0848-SOMKO,No,Male,0,No,No
0848-ZGQIJ,No,Female,0,Yes,No
0851-DFJKB,No,Female,0,No,No
0853-NWIFK,No,Female,0,No,No
0853-TWRVK,No,Male,0,Yes,No
0854-UYHZD,No,Female,0,Yes,Yes
0856-NAOES,No,Male,0,No,No
0859-YGKFW,No,Male,0,Yes,Yes
0862-PRCBS,No,Female,0,Yes,Yes
0864-FVJNJ,No,Female,0,Yes,Yes
0866-QLSIR,Yes,Female,0,No,No
0867-LDTTC,No,Male,0,No,No
0867-MKZVY,Yes,Female,0,Yes,No
0868-VJRDR,No,Male,0,Yes,No
0869-PAPRP,No,Female,1,Yes,No
0870-VEMYL,Yes,Female,0,No,No
0871-OPBXW,No,Female,0,No,No
0871-URUWO,Yes,Male,0,Yes,No
0872-CASZJ,No,Male,0,Yes,No
0872-JCPIB,No,Male,0,No,No
0872-NXJYS,Yes,Female,0,No,No
0875-CABNR,Yes,Female,1,No,No
0876-WDUUZ,Yes,Female,0,No,No
0877-SDMBN,Yes,Female,0,No,No
0880-FVFWF,No,Male,0,No,No
0880-TKATG,Yes,Male,0,Yes,Yes
0883-EIBTI,Yes,Female,0,No,No
0885-HMGPY,No,Male,0,No,No
0886-QGENL,Yes,Female,1,Yes,No
0887-HJGAR,Yes,Male,0,No,No
0887-WBJVH,No,Female,0,Yes,No
0895-DQHEW,Yes,Male,0,Yes,No
0895-LMRSF,No,Male,0,No,No
0895-LNKRC,No,Male,0,Yes,Yes
