cliente_ID,desistencia,genero,idade_>=_65,tem_parceiro,tem_dependentes,assinatura_provedor_internet,assinatura_adicional_seguranca_online,assinatura_adicional_backup_online,assinatura_adicional_protecao_dispositivo,assinatura_adicional_suporte_tecnico_menos_tempo_espera,assinatura_TV_cabo,assinatura_streaming_filmes,contrato,fatura_online,forma_pagamento,gastos_mensais,gastos_diarios,gasto_total
0020-INWCK,No,Female,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,3.19,6849.4
0020-JDNXP,No,Female,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,2.04,1993.2
0021-IKXGC,No,Female,1,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,2.4,72.1
0022-TCJCI,Yes,Male,1,No,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2.09,2791.5
0023-HGHWL,Yes,Male,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,0.84,25.1
0023-XUOPT,Yes,Female,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,3.14,1215.6
0027-KWYKW,No,Female,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,2.79,1849.95
0032-PGELS,Yes,Female,0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,1.02,30.5
0036-IHMOT,No,Female,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,3.46,5656.75
0048-LUMLS,No,Male,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3.04,3247.55
0052-DCKON,No,Male,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,3.86,7942.15
0056-EPFBG,No,Male,0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,1.31,825.4
0058-EVZWM,No,Female,0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,2.99,4959.6
0060-FUALY,No,Female,0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,3.16,5597.65
0064-YIJGF,No,Male,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,2.52,1929
0067-DKWBL,Yes,Male,1,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,1.64,91.1
0068-FIGTF,No,Female,0,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2.61,2078.95
0074-HDKDG,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,2.05,1611
0076-LVEPS,No,Male,0,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1.5,1242.45
0078-XZMHT,No,Male,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,2.84,6316.2
0080-EMYVY,No,Female,0,No,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,1.72,727.85
0080-OROZO,No,Female,0,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3.31,3532
0082-LDZUE,No,Male,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,1.48,44.3
0082-OQIQY,No,Male,0,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,3.14,2607.6
0083-PIVIK,No,Male,0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,2.71,5567.55
0089-IIQKO,No,Female,0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3.33,3767.4
0093-EXYQL,No,Female,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3.05,3673.6
0093-XWZFY,Yes,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,3.48,4036.85
0094-OIFMO,Yes,Female,1,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,3.17,1120.3
0096-BXERS,No,Female,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,1.68,314.55
0096-FCPUF,No,Male,0,No,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,2.15,1888.45
0100-DUVFC,No,Male,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,3.49,7308.95
0103-CSITQ,No,Female,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,3.65,6252.7
0104-PPXDV,No,Male,0,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,1.68,2878.55
0106-GHRQR,No,Male,0,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,2.38,1212.1
0106-UGRDO,No,Female,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,3.87,8182.85
0107-YHINA,Yes,Male,0,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,3.32,99.75
0111-KLBQG,No,Male,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,3.13,2861.45
0112-QAWRZ,No,Male,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.8,3.03,1442.2
0112-QWPNC,Yes,Male,0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,2.81,4059.35
0114-IGABW,No,Female,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,1.94,4145.9
0114-PEGZZ,No,Female,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55,3.58,3645.5
0115-TFERT,Yes,Male,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,3.71,2317.1
0117-LFRMW,Yes,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1.34,1448.8
0118-JPNOY,No,Female,1,No,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2.86,2193.65
0121-SNYRK,No,Male,0,No,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.4,1.18,1748.9
0122-OAHPZ,Yes,Female,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,2.46,511.25
0123-CRBRT,No,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,2.94,5526.75
0125-LZQXK,Yes,Male,0,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,3.38,1553.95
0128-MKWSG,No,Female,0,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1.53,1147
0129-KPTWJ,No,Male,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,3.16,6747.35
0130-SXOUN,No,Male,0,No,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,2.98,5976.9
0133-BMFZO,Yes,Female,0,No,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,2.88,181.65
0134-XWXCE,No,Female,1,No,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,2.49,3268.05
0135-NMXAP,Yes,Female,0,No,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,2.99,1052.4
0136-IFMYD,No,Male,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,3.66,7634.25
0137-OCGAB,Yes,Female,0,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.2,2.67,80.2
0139-IVFJG,No,Female,0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,3.01,190.5
0141-YEAYS,No,Female,1,No,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2.88,2401.05
0147-ESWWR,No,Female,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3.38,3949.15
0148-DCDOS,Yes,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,3.16,2362.1
0151-ONTOV,Yes,Female,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,2.36,70.9
0156-FVPTA,Yes,Male,0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.2,1.81,1152.7
0164-APGRB,No,Female,0,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,3.83,8496.7
0168-XZKBB,No,Female,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,2.9,1564.4
0177-PXBAT,No,Male,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3.66,3694.7
0178-SZBHO,No,Male,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2,2.91,4017.45
0181-RITDD,No,Male,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,3.6,6825.65
0186-CAERR,No,Male,0,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,3.88,8309.55
0187-QSXOE,No,Male,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,2.97,605.45
0187-WZNAB,No,Female,0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,2.48,1972.35
0191-EQUUH,No,Female,0,No,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05,1.17,844.45
0191-ZHSKZ,No,Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2.49,2111.3
0193-ESZXP,Yes,Female,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5,3.52,6205.5
0195-IESCP,Yes,Male,0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,2.84,855.3
0196-JTUQI,No,Female,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,2.51,633.85
0196-VULGZ,Yes,Female,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35,2.81,474.9
0197-PNKNK,No,Female,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),84.45,2.82,5848.6
0201-MIBOL,No,Female,1,No,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,3.41,6471.85
0201-OAMXR,Yes,Female,0,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55,3.85,8127.6
0206-TBWLC,No,Female,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.65,3.82,6049.5
0207-MDKNV,Yes,Female,0,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,3.5,1582.75
0212-ISBBF,No,Female,0,No,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.35,1.68,1098.85
0214-JHPFW,No,Female,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8,1.93,4039.3
0215-BQKGS,No,Male,0,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.3,2.81,2438.6
0218-QNVAS,No,Male,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),100.55,3.35,7113.75
0219-YTZUE,Yes,Male,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,2.83,371.9
0220-EBGCE,Yes,Male,0,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.85,2.86,167.3
0221-WMXNQ,No,Male,1,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.35,2.51,273.4
0222-CNVPT,No,Male,1,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),48.8,1.63,2555.05
0224-HJAPT,Yes,Male,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,1.57,223.15
0224-RLWWD,No,Female,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.3,1.48,89.3
0225-ZORZP,No,Male,0,No,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.3,2.81,235.05
0228-MAUWC,No,Male,0,No,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,59.55,1.98,1144.6
0229-LFJAF,No,Male,0,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65,2.32,4908.25
0230-UBYPQ,No,Male,1,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),36.1,1.2,2298.9
0230-WEQUW,No,Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),56.6,1.89,3789.2
0231-LXVAP,Yes,Male,0,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.9,2.53,75.9
0233-FTHAV,No,Female,0,No,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),79.2,2.64,4765
0234-TEVTT,No,Female,0,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),45.0,1.5,2196.3
0235-KGSLC,Yes,Female,0,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.55,2.85,85.55
0236-HFWSV,Yes,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.35,3.11,1444.65
0237-YFUTL,No,Female,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.65,3.66,5405.8
0238-WHBIQ,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.7,2.99,6339.3
0239-OXEXL,No,Female,0,No,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,84.25,2.81,3847.6
0244-LGNFY,No,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.65,3.09,6733
0248-IPDFW,No,Female,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.1,1.67,50.1
0248-PGHBZ,No,Female,1,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),92.45,3.08,6140.85
0253-ZTEOB,No,Female,0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,79.65,2.66,3870.3
0254-FNMCI,No,Female,0,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.9,3.66,7624.2
0254-KCJGT,No,Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),81.4,2.71,4354.45
0254-WWRKD,No,Female,0,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),50.55,1.68,3431.75
0256-LTHVJ,Yes,Female,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2.7,2227.1
0257-KXZGU,No,Female,0,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),62.45,2.08,2045.55
0257-ZESQC,Yes,Female,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2,2.51,1929.35
0258-NOKBL,No,Male,0,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4,3.01,268.45
0259-GBZSH,Yes,Male,0,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,2.86,181.5
0260-ZDLGK,Yes,Female,0,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,72.9,2.43,651.4
0263-FJTQO,No,Male,0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.5,2.35,3486.65
0265-EDXBD,Yes,Male,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2.5,2303.35
0265-PSUAE,No,Female,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.7,3.36,1522.7
0266-CLZKZ,No,Female,0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.65,3.52,6717.9
0266-GMEAO,No,Male,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.3,3.81,8058.55
0270-THENM,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.85,2.33,5102.35
0274-JKUJR,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,58.85,1.96,465.7
0277-BKSQP,No,Male,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.4,1.81,475.1
0277-ORXQS,No,Male,0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),50.55,1.68,3364.55
0280-XJGEX,Yes,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,3.46,5036.3
0282-NVSJS,No,Female,1,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,29.3,0.98,355.9
0285-INHLN,No,Male,0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75,1.82,1510.3
0289-IVARM,No,Female,0,No,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,60.55,2.02,1982.6
0292-WEGCH,No,Female,0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.2,2.87,4524.05
0295-PPHDO,Yes,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,3.18,95.45
0295-QVKPB,No,Male,0,No,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.95,2.13,318.1
0297-RBCSG,No,Male,0,No,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.35,2.18,1231.85
0298-XACET,No,Male,0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,50.2,1.67,2554
0301-FIDRB,No,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.8,2.13,4684.3
0302-JOIVN,Yes,Female,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,3.37,842.9
0303-UNCIP,No,Male,0,No,No,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,65.0,2.17,2531.8
0305-SQECB,No,Female,0,No,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,36.05,1.2,402.6
0306-JAELE,Yes,Male,0,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,3.2,453.4
0308-GIQJT,No,Male,1,No,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75,3.52,7382.85
0308-IVGOK,No,Female,0,No,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),40.4,1.35,422.6
0310-MVLET,Yes,Female,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.15,3.3,6010.05
0310-SUCIN,No,Female,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.8,2.83,6046.1
0311-QYWSS,No,Female,0,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.45,1.65,314.6
0311-UNPFF,Yes,Female,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.8,2.96,2274.35
0314-TKOSI,No,Female,0,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,55.15,1.84,322.9
0315-LVCRK,No,Male,0,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,84.8,2.83,888.75
0318-QUUOB,Yes,Male,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.55,2.68,80.55
0319-QZTCO,No,Female,0,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.7,1.96,168.6
0320-DWVTU,No,Female,0,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,99.5,3.32,5424.25
0320-JDNQG,Yes,Male,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.85,3.33,2331.3
0322-CHQRU,Yes,Male,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.35,1.51,89.5
0322-YINQP,Yes,Male,0,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,1.62,48.55
0324-BRPCJ,Yes,Female,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,3.34,6851.65
0325-XBFAC,Yes,Male,0,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.7,3.16,740.3
0326-VDYXE,No,Female,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,97.65,3.26,6982.5
0327-WFZSY,No,Male,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,100.0,3.33,3835.55
0328-GRPMV,Yes,Female,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.1,2.34,70.1
0329-GTIAJ,Yes,Female,0,No,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.9,3.26,315.3
0330-BGYZE,No,Male,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),102.5,3.42,6157.6
0330-IVZHA,Yes,Female,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.95,2.33,330.15
0334-GDDSO,Yes,Male,1,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,2.71,233.7
0334-ZFJSR,No,Female,0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.05,2.2,3462.1
0336-KXKFK,No,Male,0,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),61.2,2.04,4390.25
