cliente_ID,contrato,fatura_online,forma_pagamento,gastos_mensais,gasto_total
0078-XZMHT,Two year,Yes,Bank transfer (automatic),85.15,6316.2
0080-EMYVY,One year,No,Credit card (automatic),51.45,727.85
0080-OROZO,One year,Yes,Electronic check,99.25,3532
0082-LDZUE,Month-to-month,Yes,Mailed check,44.3,44.3
0082-OQIQY,Month-to-month,Yes,Electronic check,94.2,2607.6
0083-PIVIK,One year,No,Electronic check,81.25,5567.55
0089-IIQKO,Month-to-month,Yes,Credit card (automatic),99.95,3767.4
0093-EXYQL,Month-to-month,Yes,Electronic check,91.55,3673.6
0093-XWZFY,Month-to-month,Yes,Credit card (automatic),104.5,4036.85
0094-OIFMO,Month-to-month,Yes,Electronic check,95.0,1120.3
0096-BXERS,Month-to-month,No,Electronic check,50.35,314.55
0096-FCPUF,Month-to-month,Yes,Mailed check,64.5,1888.45
0098-BOWSO,Month-to-month,Yes,Electronic check,19.4,529.8
0100-DUVFC,One year,Yes,Electronic check,104.8,7308.95
0103-CSITQ,One year,Yes,Bank transfer (automatic),109.4,6252.7
0104-PPXDV,One year,No,Credit card (automatic),50.3,2878.55
0106-GHRQR,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1
0106-UGRDO,Two year,Yes,Electronic check,116.0,8182.85
0107-WESLM,Month-to-month,Yes,Electronic check,19.85,19.85
0107-YHINA,Month-to-month,Yes,Electronic check,99.75,99.75
0111-KLBQG,Month-to-month,Yes,Mailed check,93.95,2861.45
0112-QAWRZ,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2
0112-QWPNC,One year,No,Electronic check,84.35,4059.35
0114-IGABW,Two year,No,Bank transfer (automatic),58.25,4145.9
0114-PEGZZ,Month-to-month,No,Electronic check,107.55,3645.5
0114-RSRRW,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75
0115-TFERT,Month-to-month,Yes,Electronic check,111.2,2317.1
0117-LFRMW,Month-to-month,No,Bank transfer (automatic),40.2,1448.8
0118-JPNOY,Month-to-month,Yes,Credit card (automatic),85.8,2193.65
0120-YZLQA,Two year,Yes,Credit card (automatic),19.9,1355.1
0121-SNYRK,One year,Yes,Mailed check,35.4,1748.9
0122-OAHPZ,Month-to-month,Yes,Electronic check,73.85,511.25
0123-CRBRT,Two year,No,Mailed check,88.1,5526.75
0125-LZQXK,Month-to-month,Yes,Electronic check,101.35,1553.95
0128-MKWSG,Month-to-month,No,Mailed check,45.8,1147
0129-KPTWJ,Month-to-month,Yes,Electronic check,94.65,6747.35
0129-QMPDR,One year,Yes,Bank transfer (automatic),20.5,865.05
0130-SXOUN,Month-to-month,No,Credit card (automatic),89.4,5976.9
0133-BMFZO,Month-to-month,Yes,Electronic check,86.25,181.65
0134-XWXCE,One year,No,Bank transfer (automatic),74.85,3268.05
0135-NMXAP,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4
0136-IFMYD,Two year,Yes,Electronic check,109.95,7634.25
0137-OCGAB,Month-to-month,Yes,Mailed check,80.2,80.2
0137-UDEUO,Month-to-month,No,Mailed check,19.85,63.75
0139-IVFJG,Month-to-month,No,Electronic check,90.35,190.5
0141-YEAYS,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05
0142-GVYSN,Month-to-month,Yes,Electronic check,20.3,511.25
0147-ESWWR,Month-to-month,Yes,Electronic check,101.25,3949.15
0148-DCDOS,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1
0151-ONTOV,Month-to-month,No,Mailed check,70.9,70.9
0154-QYHJU,One year,Yes,Electronic check,58.75,1696.2
0156-FVPTA,Month-to-month,Yes,Electronic check,54.2,1152.7
0162-RZGMZ,Month-to-month,No,Credit card (automatic),59.9,287.85
0164-APGRB,Two year,Yes,Electronic check,114.9,8496.7
0164-XAIRP,Two year,Yes,Bank transfer (automatic),19.55,470.2
0168-XZKBB,Month-to-month,Yes,Electronic check,86.85,1564.4
0174-QRVVY,Two year,No,Credit card (automatic),25.35,1847.55
0177-PXBAT,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7
0178-CIIKR,Month-to-month,No,Mailed check,19.95,58
0178-SZBHO,Month-to-month,No,Electronic check,87.2,4017.45
0181-RITDD,Two year,No,Mailed check,108.15,6825.65
0186-CAERR,One year,Yes,Bank transfer (automatic),116.3,8309.55
0187-QSXOE,Month-to-month,Yes,Electronic check,89.0,605.45
0187-WZNAB,Month-to-month,No,Mailed check,74.4,1972.35
0188-GWFLE,Month-to-month,No,Mailed check,20.05,33.7
0191-EQUUH,Two year,No,Bank transfer (automatic),35.05,844.45
0191-ZHSKZ,Month-to-month,Yes,Electronic check,74.75,2111.3
0193-ESZXP,One year,Yes,Credit card (automatic),105.5,6205.5
0195-IESCP,Month-to-month,Yes,Electronic check,85.25,855.3
0196-JTUQI,Month-to-month,Yes,Credit card (automatic),75.2,633.85
0196-VULGZ,Month-to-month,Yes,Electronic check,84.35,474.9
0197-PNKNK,One year,No,Bank transfer (automatic),84.45,5848.6
0201-MIBOL,Two year,Yes,Bank transfer (automatic),102.4,6471.85
0201-OAMXR,One year,No,Credit card (automatic),115.55,8127.6
0203-HHYIJ,One year,No,Bank transfer (automatic),25.3,676.35
0206-OYVOC,Two year,Yes,Mailed check,19.25,864.2
0206-TBWLC,One year,Yes,Mailed check,114.65,6049.5
0207-MDKNV,Month-to-month,No,Electronic check,105.1,1582.75
0208-BPQEJ,Month-to-month,No,Bank transfer (automatic),19.4,198.1
0212-ISBBF,Month-to-month,Yes,Electronic check,50.35,1098.85
0214-JHPFW,Two year,No,Bank transfer (automatic),57.8,4039.3
0215-BQKGS,Month-to-month,Yes,Credit card (automatic),84.3,2438.6
0218-QNVAS,One year,No,Bank transfer (automatic),100.55,7113.75
0219-QAERP,One year,No,Credit card (automatic),19.8,576.65
0219-YTZUE,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9
0220-EBGCE,Month-to-month,Yes,Electronic check,85.85,167.3
0221-NAUXK,One year,Yes,Bank transfer (automatic),19.95,219.5
0221-WMXNQ,Month-to-month,No,Electronic check,75.35,273.4
0222-CNVPT,Month-to-month,Yes,Credit card (automatic),48.8,2555.05
0224-HJAPT,Month-to-month,No,Electronic check,47.15,223.15
0224-NIJLP,Two year,No,Mailed check,20.15,165.5
0224-RLWWD,Month-to-month,Yes,Electronic check,44.3,89.3
0225-ZORZP,Month-to-month,No,Electronic check,84.3,235.05
0228-MAUWC,Month-to-month,No,Electronic check,59.55,1144.6
0229-LFJAF,Two year,No,Bank transfer (automatic),69.65,4908.25
0230-UBYPQ,One year,No,Bank transfer (automatic),36.1,2298.9
0230-WEQUW,Two year,Yes,Bank transfer (automatic),56.6,3789.2
0231-LXVAP,Month-to-month,Yes,Electronic check,75.9,75.9
0233-FTHAV,One year,Yes,Bank transfer (automatic),79.2,4765
0234-TEVTT,One year,No,Credit card (automatic),45.0,2196.3
0235-KGSLC,Month-to-month,Yes,Credit card (automatic),85.55,85.55
0236-HFWSV,Month-to-month,Yes,Electronic check,93.35,1444.65
0237-YFUTL,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.8
0238-WHBIQ,Two year,No,Credit card (automatic),89.7,6339.3
0239-OXEXL,Month-to-month,No,Mailed check,84.25,3847.6
0244-LGNFY,Two year,No,Bank transfer (automatic),92.65,6733
0247-SLUJI,Month-to-month,No,Mailed check,19.7,19.7
0248-IPDFW,Month-to-month,Yes,Electronic check,50.1,50.1
0248-PGHBZ,Two year,Yes,Bank transfer (automatic),92.45,6140.85
0253-ZTEOB,Two year,No,Electronic check,79.65,3870.3
0254-FNMCI,Two year,Yes,Electronic check,109.9,7624.2
0254-KCJGT,One year,Yes,Credit card (automatic),81.4,4354.45
0254-WWRKD,One year,No,Credit card (automatic),50.55,3431.75
0256-LTHVJ,Month-to-month,Yes,Electronic check,81.05,2227.1
0257-KXZGU,Month-to-month,No,Bank transfer (automatic),62.45,2045.55
0257-ZESQC,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35
0258-NOKBL,Month-to-month,No,Electronic check,90.4,268.45
0259-GBZSH,Month-to-month,Yes,Electronic check,85.65,181.5
0260-ZDLGK,Month-to-month,Yes,Mailed check,72.9,651.4
0263-FJTQO,Two year,Yes,Credit card (automatic),70.5,3486.65
0264-CNITK,Two year,No,Bank transfer (automatic),20.1,1389.6
0265-EDXBD,Month-to-month,Yes,Electronic check,74.9,2303.35
0265-PSUAE,Month-to-month,No,Bank transfer (automatic),100.7,1522.7
0266-CLZKZ,Two year,Yes,Bank transfer (automatic),105.65,6717.9
0266-GMEAO,Two year,Yes,Credit card (automatic),114.3,8058.55
0268-QKIWO,Month-to-month,No,Electronic check,19.75,58.85
0269-XFESX,One year,No,Mailed check,24.35,538.5
0270-THENM,Two year,No,Bank transfer (automatic),69.85,5102.35
0274-JKUJR,Month-to-month,No,Mailed check,58.85,465.7
0274-VVQOQ,One year,Yes,Bank transfer (automatic),103.15,6792.45
0277-BKSQP,Month-to-month,Yes,Electronic check,54.4,475.1
0277-ORXQS,Two year,No,Bank transfer (automatic),50.55,3364.55
0278-YXOOG,Month-to-month,No,Mailed check,21.05,113.85
0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3
0281-CNTZX,Two year,Yes,Bank transfer (automatic),19.95,1234.8
0282-NVSJS,Month-to-month,Yes,Mailed check,29.3,355.9
0285-INHLN,Month-to-month,Yes,Credit card (automatic),54.75,1510.3
0289-IVARM,Month-to-month,No,Electronic check,60.55,1982.6
0292-WEGCH,Month-to-month,Yes,Electronic check,86.2,4524.05
0295-PPHDO,Month-to-month,Yes,Electronic check,95.45,95.45
0295-QVKPB,Month-to-month,Yes,Credit card (automatic),63.95,318.1
0297-RBCSG,One year,Yes,Bank transfer (automatic),65.35,1231.85
0298-XACET,Two year,No,Mailed check,50.2,2554
0301-FIDRB,Two year,Yes,Bank transfer (automatic),63.8,4684.3
0301-KOBTQ,Two year,Yes,Bank transfer (automatic),20.05,614.45
0302-JOIVN,Month-to-month,No,Electronic check,101.15,842.9
0303-UNCIP,One year,No,Mailed check,65.0,2531.8
0303-WMMRN,Month-to-month,Yes,Mailed check,19.25,86.05
0305-SQECB,One year,Yes,Mailed check,36.05,402.6
0306-JAELE,Month-to-month,Yes,Electronic check,96.1,453.4
0307-BCOPK,One year,No,Mailed check,19.05,326.65
0308-GIQJT,One year,No,Bank transfer (automatic),105.75,7382.85
0308-IVGOK,One year,Yes,Credit card (automatic),40.4,422.6
0310-MVLET,Month-to-month,Yes,Electronic check,99.15,6010.05
0310-SUCIN,One year,Yes,Bank transfer (automatic),84.8,6046.1
0310-VQXAM,Month-to-month,No,Mailed check,19.85,178.8
0311-QYWSS,Month-to-month,Yes,Electronic check,49.45,314.6
0311-UNPFF,Month-to-month,Yes,Bank transfer (automatic),88.8,2274.35
0314-TKOSI,Month-to-month,No,Mailed check,55.15,322.9
0315-LVCRK,Month-to-month,No,Electronic check,84.8,888.75
0318-QUUOB,Month-to-month,Yes,Electronic check,80.55,80.55
0318-ZOPWS,Two year,Yes,Bank transfer (automatic),20.15,973.35
0319-QZTCO,Month-to-month,Yes,Credit card (automatic),58.7,168.6
0320-DWVTU,Two year,No,Mailed check,99.5,5424.25
0320-JDNQG,Month-to-month,Yes,Electronic check,99.85,2331.3
0322-CHQRU,Month-to-month,No,Electronic check,45.35,89.5
0322-YINQP,Month-to-month,Yes,Mailed check,48.55,48.55
0323-XWWTN,Two year,Yes,Mailed check,26.4,121.25
0324-BRPCJ,Month-to-month,Yes,Electronic check,100.2,6851.65
0325-XBFAC,Month-to-month,Yes,Electronic check,94.7,740.3
0326-VDYXE,One year,Yes,Electronic check,97.65,6982.5
0327-WFZSY,One year,No,Electronic check,100.0,3835.55
0328-GRPMV,Month-to-month,Yes,Electronic check,70.1,70.1
0328-IBUPK,Two year,No,Bank transfer (automatic),34.2,1782
0329-GTIAJ,Month-to-month,Yes,Electronic check,97.9,315.3
0330-BGYZE,One year,No,Bank transfer (automatic),102.5,6157.6
0330-IVZHA,Month-to-month,No,Electronic check,69.95,330.15
0334-GDDSO,Month-to-month,Yes,Electronic check,81.35,233.7
0334-ZFJSR,One year,Yes,Credit card (automatic),66.05,3462.1
0336-KXKFK,Two year,Yes,Credit card (automatic),61.2,4390.25
0336-PIKEI,Two year,No,Bank transfer (automatic),74.4,5360.75
0337-CNPZE,Month-to-month,Yes,Electronic check,106.3,4443.45
0343-QLUZP,Two year,No,Bank transfer (automatic),39.6,2424.5
0345-HKJVM,Month-to-month,No,Electronic check,89.3,577.6
0345-XMMUG,Two year,Yes,Credit card (automatic),108.9,4854.3
0347-UBKUZ,Month-to-month,No,Mailed check,19.9,320.45
0348-SDKOL,Month-to-month,Yes,Credit card (automatic),102.1,5885.4
0354-VXMJC,Two year,No,Credit card (automatic),19.6,426.65
0354-WYROK,Month-to-month,Yes,Electronic check,98.9,2911.3
0356-ERHVT,Month-to-month,Yes,Bank transfer (automatic),45.9,521.9
0356-OBMAC,Two year,Yes,Bank transfer (automatic),99.9,5706.3
0357-NVCRI,Month-to-month,No,Credit card (automatic),20.05,471.7
0361-HJRDX,Two year,No,Credit card (automatic),64.35,4539.6
0362-RAOQO,Two year,No,Credit card (automatic),19.65,830.25
0362-ZBZWJ,Month-to-month,Yes,Electronic check,84.9,3067.2
0363-QJVFX,Month-to-month,Yes,Credit card (automatic),108.15,3432.9
0363-SVHYR,Two year,No,Bank transfer (automatic),86.85,6263.8
0365-BZUWY,Month-to-month,Yes,Electronic check,102.55,1742.5
0365-GXEZS,Month-to-month,No,Electronic check,78.2,1468.75
0365-TRTPY,Month-to-month,No,Bank transfer (automatic),91.2,3382.3
0366-NQSHS,Month-to-month,No,Mailed check,19.35,46.35
0369-ZGOVK,One year,Yes,Bank transfer (automatic),70.4,1992.2
0373-AIVNJ,One year,No,Mailed check,39.55,373
0374-AACSZ,Month-to-month,No,Electronic check,50.15,50.15
0374-FIUCA,Two year,Yes,Credit card (automatic),20.4,1414.45
0374-IOEGQ,Month-to-month,No,Electronic check,44.6,122.7
0375-HVGXO,Month-to-month,Yes,Electronic check,34.7,34.7
0376-OIWME,Month-to-month,Yes,Electronic check,93.6,3366.05
0376-YMCJC,Month-to-month,Yes,Electronic check,90.6,1943.2
0377-JBKKT,Month-to-month,Yes,Mailed check,57.95,1271.8
0378-CJKPV,Two year,No,Credit card (automatic),112.1,7965.95
0378-NHQXU,Month-to-month,No,Electronic check,88.25,1460.65
0378-TOVMS,Month-to-month,No,Electronic check,85.8,272.2
0378-XSZPU,One year,No,Credit card (automatic),60.3,3563.8
0379-DJQHR,Two year,No,Credit card (automatic),81.35,5398.6
0380-NEAVX,One year,Yes,Electronic check,99.85,3343.15
0380-ZCSBI,Month-to-month,No,Credit card (automatic),20.0,198.7
0383-CLDDA,Two year,Yes,Credit card (automatic),85.35,5897.4
0384-LPITE,One year,No,Credit card (automatic),62.05,2511.55
0384-RVBPI,Month-to-month,No,Credit card (automatic),64.4,1398.6
0386-CWRGM,Two year,No,Mailed check,19.4,967.85
0388-EOPEX,Month-to-month,Yes,Electronic check,74.4,139.4
0390-DCFDQ,Month-to-month,Yes,Mailed check,70.45,70.45
0392-BZIUW,Two year,Yes,Credit card (automatic),105.0,7589.8
0394-YONDK,Two year,No,Credit card (automatic),25.15,1790.15
0396-HUJBP,Month-to-month,No,Mailed check,19.3,44.4
0396-UKGAI,Month-to-month,Yes,Bank transfer (automatic),55.3,1284.2
0396-YCHWO,Month-to-month,Yes,Electronic check,95.4,3474.2
0397-GZBBC,Month-to-month,Yes,Bank transfer (automatic),93.85,5574.75
0397-ZXWQF,Two year,No,Bank transfer (automatic),20.5,1430.95
0401-WDBXM,Two year,Yes,Bank transfer (automatic),105.55,7542.25
0402-CQAJN,Month-to-month,Yes,Bank transfer (automatic),101.9,3545.35
0402-OAMEN,Two year,No,Bank transfer (automatic),24.45,1709.1
0404-AHASP,Two year,No,Credit card (automatic),19.7,1421.9
0404-SWRVG,Month-to-month,Yes,Electronic check,74.4,229.55
0406-BPDVR,One year,Yes,Credit card (automatic),101.5,5373.1
0407-BDJKB,Month-to-month,Yes,Electronic check,95.75,5742.9
0409-WTMPL,One year,Yes,Credit card (automatic),110.65,6526.65
0410-IPFTY,Month-to-month,Yes,Bank transfer (automatic),83.85,2674.15
0411-EZJZE,Month-to-month,Yes,Electronic check,60.25,170.5
0412-UCCNP,Two year,Yes,Electronic check,59.2,3175.85
0415-MOSGF,Month-to-month,No,Mailed check,44.4,44.4
0419-YAAPX,Month-to-month,Yes,Credit card (automatic),85.3,4297.95
0420-BWTPW,Month-to-month,No,Mailed check,25.5,215.2
0420-HLGXF,Month-to-month,Yes,Electronic check,99.75,4036
0420-TXVSG,Two year,Yes,Credit card (automatic),66.1,4428.45
0422-OHQHQ,One year,No,Mailed check,20.55,295.95
0422-UXFAP,One year,Yes,Electronic check,98.85,4947.55
0423-UDIJQ,Month-to-month,No,Mailed check,49.2,447.9
0426-TIRNE,Month-to-month,No,Mailed check,20.9,20.9
0428-AXXLJ,One year,Yes,Bank transfer (automatic),19.5,516.3
0428-IKYCP,Month-to-month,Yes,Bank transfer (automatic),87.0,1850.65
0430-IHCDJ,Month-to-month,Yes,Electronic check,49.0,749.25
0431-APWVY,One year,Yes,Bank transfer (automatic),90.1,2598.95
0432-CAJZV,Month-to-month,No,Mailed check,90.7,237.65
0434-CSFON,Month-to-month,Yes,Electronic check,100.5,4707.1
0436-TWFFZ,Two year,Yes,Mailed check,85.25,5714.2
0439-IFYUN,Month-to-month,Yes,Electronic check,74.7,1294.6
0440-EKDCF,Two year,Yes,Credit card (automatic),60.15,3753.2
0440-MOGPM,One year,Yes,Electronic check,80.55,3263.9
0440-QEXBZ,Month-to-month,Yes,Mailed check,50.15,2139.1
0440-UEDAI,One year,Yes,Credit card (automatic),94.45,5042.75
0442-TDYUO,Two year,Yes,Mailed check,20.05,1036
0442-ZXKVS,One year,Yes,Bank transfer (automatic),115.6,6431.05
0447-BEMNG,Month-to-month,Yes,Bank transfer (automatic),45.3,2145
0447-RXSGD,Month-to-month,Yes,Bank transfer (automatic),99.65,2404.85
0448-YZNZE,Month-to-month,Yes,Electronic check,95.55,2510.2
0454-OKRCT,Two year,No,Bank transfer (automatic),80.6,2651.1
0455-ENTCR,Two year,No,Electronic check,85.25,5538.35
0455-XFASS,Month-to-month,Yes,Electronic check,69.55,200.2
0458-HEUZG,Two year,No,Mailed check,35.4,450.4
0459-SPZHJ,Two year,No,Credit card (automatic),83.5,5435
0461-CVKMU,Month-to-month,No,Electronic check,83.8,1900.25
0463-TXOAK,Two year,No,Credit card (automatic),25.6,1334.5
0463-WZZKO,Month-to-month,Yes,Credit card (automatic),20.75,67.1
0463-ZSDNT,Month-to-month,Yes,Bank transfer (automatic),56.75,503.25
0464-WJTKO,Two year,No,Bank transfer (automatic),20.1,1460.85
0468-YRPXN,Month-to-month,Yes,Credit card (automatic),98.8,2807.1
0471-ARVMX,One year,Yes,Electronic check,104.85,6312.9
0471-LVHGK,One year,Yes,Electronic check,73.0,3001.2
0475-RIJEP,Month-to-month,Yes,Electronic check,77.85,3365.85
0479-HMSWA,Two year,Yes,Electronic check,105.45,2715.3
0480-BIXDE,Month-to-month,Yes,Electronic check,96.8,1743.05
0480-KYJVA,Two year,No,Credit card (automatic),24.25,1784.5
0481-SUMCB,One year,Yes,Bank transfer (automatic),102.15,4735.35
0484-FFVBJ,One year,Yes,Bank transfer (automatic),64.85,2010.95
0484-JPBRU,Month-to-month,Yes,Bank transfer (automatic),25.25,996.45
0485-ZBSLN,Two year,No,Credit card (automatic),24.75,1715.1
0486-HECZI,Month-to-month,Yes,Electronic check,96.75,5238.9
0486-LGCCH,Two year,No,Mailed check,19.65,225.75
0487-CRLZF,Two year,Yes,Bank transfer (automatic),74.45,3721.9
0487-RPVUM,Month-to-month,No,Bank transfer (automatic),99.4,5943.65
0487-VVUVK,Month-to-month,Yes,Mailed check,19.15,477.6
0488-GSLFR,Month-to-month,Yes,Electronic check,69.5,69.5
0489-WMEMG,One year,Yes,Electronic check,49.45,1119.35
0491-KAPQG,Month-to-month,Yes,Electronic check,73.7,1558.7
0495-RVCBF,Month-to-month,Yes,Electronic check,79.7,79.7
0495-ZBNGW,Month-to-month,Yes,Bank transfer (automatic),79.9,343.95
0496-AHOOK,One year,No,Bank transfer (automatic),74.4,1712.9
0504-HHAPI,Month-to-month,No,Credit card (automatic),88.3,2467.75
0505-SPOOW,Two year,No,Bank transfer (automatic),19.8,1397.65
0506-LVNGN,Month-to-month,Yes,Credit card (automatic),75.55,349.65
0506-YLVKJ,Two year,Yes,Mailed check,20.2,917.45
0508-OOLTO,Month-to-month,Yes,Electronic check,71.65,135.75
0508-SQWPL,Two year,Yes,Bank transfer (automatic),20.1,1087.7
0510-EXSMQ,Month-to-month,No,Electronic check,69.05,651.5
0511-JTEOY,Month-to-month,No,Mailed check,71.1,71.1
0512-FLFDW,One year,Yes,Credit card (automatic),100.5,6029
0513-RBGPE,Two year,Yes,Credit card (automatic),62.8,2278.75
0515-YPMCW,Month-to-month,Yes,Mailed check,70.45,70.45
0516-OOHAR,One year,No,Bank transfer (automatic),100.35,2799
0516-QREYC,Month-to-month,Yes,Mailed check,20.3,459.95
0516-UXRMT,One year,Yes,Electronic check,92.05,5755.8
0516-VRYBW,One year,No,Bank transfer (automatic),20.15,390.85
0516-WJVXC,Month-to-month,No,Electronic check,54.2,308.25
0519-DRGTI,Month-to-month,No,Mailed check,20.35,442.6
0519-XUZJU,Month-to-month,No,Mailed check,70.75,70.75
0520-FDVVT,One year,Yes,Bank transfer (automatic),102.35,3626.1
0523-VNGTF,Month-to-month,Yes,Electronic check,50.5,2566.3
0524-IAVZO,Month-to-month,Yes,Electronic check,85.0,2624.25
0526-SXDJP,Two year,No,Bank transfer (automatic),42.1,2962
0529-ONKER,Month-to-month,No,Electronic check,75.65,1146.65
0530-HBKHZ,Month-to-month,Yes,Electronic check,24.8,24.8
0530-IJVDB,Two year,Yes,Electronic check,114.6,7882.5
0531-XBKMM,Two year,No,Bank transfer (automatic),65.7,4378.9
0531-ZZJWQ,Month-to-month,Yes,Electronic check,74.0,4052.4
0533-BNWKF,Month-to-month,Yes,Electronic check,85.45,4874.7
0533-UCAAU,One year,Yes,Credit card (automatic),71.1,4140.1
0534-JRNIG,Month-to-month,Yes,Bank transfer (automatic),93.55,536.4
0536-ACXIP,Two year,Yes,Electronic check,109.55,8165.1
0536-BGFMZ,Month-to-month,No,Mailed check,20.5,563.05
0536-ESJEP,Two year,Yes,Bank transfer (automatic),74.55,4191.45
0537-QYZZN,Month-to-month,Yes,Electronic check,79.85,1857.75
0541-FITGH,Month-to-month,Yes,Mailed check,62.15,113.1
0542-YUDZL,Month-to-month,No,Mailed check,25.55,372.45
0547-HURJB,Month-to-month,No,Credit card (automatic),21.05,235.8
0548-BCTNE,One year,Yes,Credit card (automatic),106.1,5082.8
0549-CYCQN,One year,Yes,Bank transfer (automatic),79.6,3974.7
0550-DCXLH,Month-to-month,No,Mailed check,73.35,931.55
0556-FJEGU,Two year,No,Bank transfer (automatic),70.1,4048.95
0557-ASKVU,One year,Yes,Credit card (automatic),54.4,957.1
0559-CKHUS,Two year,Yes,Mailed check,19.55,521.8
0562-FGDCR,Two year,No,Mailed check,74.55,5430.65
0562-HKHML,Two year,No,Credit card (automatic),23.9,1626.4
0562-KBDVM,Two year,Yes,Bank transfer (automatic),44.6,3058.15
0564-JJHGS,Month-to-month,Yes,Electronic check,95.5,829.1
0564-MUUQK,Month-to-month,Yes,Bank transfer (automatic),95.5,1916.2
0565-IYCGT,One year,Yes,Credit card (automatic),78.6,5356.45
0565-JUPYD,One year,No,Credit card (automatic),104.5,6590.8
0567-DLARH,Month-to-month,No,Credit card (automatic),51.2,1561.5
0567-GGCAC,Month-to-month,No,Electronic check,61.4,438.9
0567-XRHCU,Two year,Yes,Credit card (automatic),43.95,2960.1
0568-ONFPC,Month-to-month,Yes,Bank transfer (automatic),25.9,135
0570-BFQHT,Month-to-month,No,Electronic check,80.55,653.9
0572-ZJKLT,Two year,No,Mailed check,99.65,4630.2
0575-CUQOV,One year,Yes,Electronic check,97.95,5867
0576-WNXXC,Month-to-month,Yes,Electronic check,95.55,2510.2
0577-WHMEV,Month-to-month,No,Electronic check,90.7,1374.9
0578-SKVMF,Month-to-month,No,Electronic check,83.3,1845.9
0580-PIQHM,One year,Yes,Bank transfer (automatic),101.6,3930.55
0581-BXBUB,Month-to-month,No,Electronic check,72.75,317.75
